%   time (s) 	    East (m)	     North (m)	   Psi (rad)	    gyro (rad/s)   radar (m/s)
%--------------------------------------------------------------------------------------------------
   1.3600000e+01  -9.3740494e+01   5.3668578e+01   4.6851100e+00   8.1016000e-02   2.1384000e+00
   1.3800000e+01  -9.4171978e+01   5.3647620e+01   4.6917040e+00   6.5026000e-02   2.1595200e+00
   1.4000000e+01  -9.4607445e+01   5.3649327e+01   4.6942510e+00   5.4366000e-02   2.1700800e+00
   1.4200000e+01  -9.5053809e+01   5.3667396e+01   4.6928210e+00   5.2234000e-02   2.1252000e+00
   1.4400000e+01  -9.5516398e+01   5.3689979e+01   4.7008700e+00   6.9290000e-02   2.1067200e+00
   1.4600000e+01  -9.5953111e+01   5.3699575e+01   4.7029820e+00   5.4366000e-02   2.1278400e+00
   1.4800000e+01  -9.6400095e+01   5.3694680e+01   4.7130500e+00   6.1828000e-02   2.1172800e+00
   1.5000000e+01  -9.6840393e+01   5.3702077e+01   4.7173990e+00   5.9696000e-02   2.1172800e+00
   1.5200000e+01  -9.7273092e+01   5.3718545e+01   4.7244340e+00   5.1168000e-02   2.1331200e+00
   1.5400000e+01  -9.7706377e+01   5.3651899e+01   4.7275370e+00   5.1168000e-02   2.0882400e+00
   1.5600000e+01  -9.8113979e+01   5.3710567e+01   4.7333010e+00   5.0102000e-02   2.1014400e+00
   1.5800000e+01  -9.8537055e+01   5.3723178e+01   4.7319680e+00   3.6244000e-02   2.1225600e+00
   1.6000000e+01  -9.8975543e+01   5.3727627e+01   4.7205680e+00   5.3300000e-02   2.1542400e+00
   1.6200000e+01  -9.9404015e+01   5.3714216e+01   4.7216630e+00   6.3960000e-02   2.1489600e+00
   1.6400000e+01  -9.9845437e+01   5.3737091e+01   4.7265750e+00   3.4112000e-02   2.1463200e+00
   1.6600000e+01  -1.0028274e+02   5.3751281e+01   4.7353040e+00   6.3960000e-03   2.1225600e+00
   1.6800000e+01  -1.0072345e+02   5.3767048e+01   4.7131510e+00  -5.3300000e-03   2.1146400e+00
   1.7000000e+01  -1.0118578e+02   5.3714549e+01   4.7027550e+00  -1.4924000e-02   2.0961600e+00
   1.7200000e+01  -1.0162966e+02   5.3700284e+01   4.6841620e+00   1.9188000e-02   2.1067200e+00
   1.7400000e+01  -1.0207358e+02   5.3671144e+01   4.6807600e+00   2.5584000e-02   2.1331200e+00
   1.7600000e+01  -1.0251837e+02   5.3665806e+01   4.6758200e+00   3.8376000e-02   2.1331200e+00
   1.7800000e+01  -1.0294863e+02   5.3641152e+01   4.6805490e+00   7.2488000e-02   2.1516000e+00
   1.8000000e+01  -1.0337832e+02   5.3626596e+01   4.6720280e+00   7.0356000e-02   2.0618400e+00
   1.8200000e+01  -1.0381936e+02   5.3604339e+01   4.6916300e+00   1.0020400e-01   2.1595200e+00
   1.8400000e+01  -1.0425158e+02   5.3585141e+01   4.6949730e+00   7.4620000e-02   2.1832800e+00
   1.8600000e+01  -1.0467883e+02   5.3604075e+01   4.7086770e+00   8.4214000e-02   2.2017600e+00
   1.8800000e+01  -1.0512155e+02   5.3636447e+01   4.7162450e+00   8.1016000e-02   2.1304800e+00
   1.9000000e+01  -1.0557048e+02   5.3656063e+01   4.7155710e+00   8.8478000e-02   2.1832800e+00
   1.9200000e+01  -1.0600321e+02   5.3668160e+01   4.7287740e+00   5.2234000e-02   2.1621600e+00
